1,Cowboy Bebop,"In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to keep peace in the galaxy, aided in part by outlaw bounty hunters, referred to as ""Cowboys"". The ragtag team aboard the spaceship Bebop are two such individuals."
1000,Uchuu Kaizoku Captain Harlock,"The year is 2977. Mankind has become complacent and stagnant. All work is done by machines, while humans spend all their time on entertainment. But when a mysterious invader from the stars catches Earth unawares, only the legendary space pirate Captain Harlock and the crew of the Arcadia have the will to stand against them. "
10012,Carnival Phantasm,"How do you resolve a conflict between powerful spirits of famous heroes for a prize capable of granting any wish? Wage a war that will cost your blood, sweat, and tears? Too much workâ€”how about a game-show competition instead?"
1002,Top wo Nerae 2! Diebuster,"While Gunbuster's final mission destroyed the space monsters' star system, the intergalactic war still continues. Earth's only hope lies in the hands of ""TOPLESS,"" an elite mecha group with children possessing supernatural powers and new Buster Machines. Among their ranks is a rookie named Nono and the ace pilot Lal'Câ€”whom Nono looks at as a ""big sister."" Together with their teammates Nicholas and Chiko, they must aim for the top and protect all of mankind from the wrath of the space monsters."
10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"The true end arc of Ore no Imouto. These four episodes branch out after the 11th episode of the main TV series and present an alternative version to the end of the TV series. These episodes contrast with the good end arc of the TV series, which was an original ending written for the anime, and instead closely follows the original story from the light novels."
10029,Coquelicot-zaka kara,"The 1964 Tokyo Olympics represented a new start for Japanâ€”out with the old Meiji-era buildings that reminded citizens of bad times, in with innovation that spoke to the future of a newly peaceful and increasingly prosperous country. "
1003,Aa! Megami-sama! (TV) Specials,"Due to the recent events that happened on the last episodes of the season, the Goddess have some stability problems with their body systems. The always adult looking Urd becomes a little girl and has a fateful encounter with a boy, whereas little Skuld becomes an adult and wants to experiment adulthood together with Keiichi."
10030,Bakuman. 2,"Mashiro and Takagi start working with a new editor, Gorou Miura, as Hattori is assigned to another author. They must adapt quickly to his approach as well as drawing together with assistants since they must perform well on the Shonen Jack polls in order to not be discarded by the publication. Now that their work is being serialized, they must work even harder as they must satisfy an extremely demanding audience while competing with other talented authors."
10033,Toriko,"Welcome to the Gourmet Age, where happiness is measured by what you eat. In an era in which life revolves around fine cuisine, people will go to great lengths to procure special ingredients which have the power to turn a nice meal into a heavenly delight. However, since these delicious additives usually come from rare, powerful creatures, Gourmet Hunters are called upon to gather them."
1004,Kanojo to Kanojo no Neko,Do you believe in love at first sight?
10049,Nurarihyon no Mago: Sennen Makyou,"At first glance, Nura Rikuo seems like nothing more than a normal middle-schooler. In actual fact, he is grandson of Nurarihyon, master of a youkai clan. Having only recently resolved the hostilities between the Nura Clan and the Shikoku Yokai, Rikuo finds no rest as an ancient enemy of the Nura Clan, Haguromo-Gitsune, resurfaces. After 400 years of inactivity, Haguromo-Gitsune suddenly sweeps through Kyoto with overwhelming power."
10050,Macross F Music Clip Shuu: Nyankuri,Music clip collection release from anime series Macross Frontier featuring eight music clips and popular scenes from TV series and theatrical features. Also includes newly-created footage such as interview with Ranka and Sheryl and TV spot starring Ranka plus choreography footage starring 3D character version of Nakajima Megumi & May'n.
1006,Tenchi Muyou! in Love,"The demonic space criminal Kain has escaped from prison and destroyed the Galaxy Police headquarters. To ensure that the Jurai will not stop him, Kain travels back to 1970 to eliminate Tenchi's mother before he is even born. Now, Tenchi and the gang must travel to the past to stop him before he ceases to exist. "
10067,Angel Beats!: Another Epilogue,Another ending epilogue included with the 7th volume of the DVD and Blu-ray. 
1007,Ranma Â_ OVA,Ranma Saotome continues his search for a way to become a normal teenage boy again. He gets into many hilarious situations involving the many girls in his life. One of the biggest challenges is overcoming the proposals from others who have found a suitable bride for Ranma. But he has his own worries and must muster up the best of his wits and martial arts to keep his sanity. It's not easy being desired by so many women (and men) and not breaking hearts of a few along the way. He just might be able to find it in his heart to confess to Akane or simply find another excuse that he can't marry such a tomboy girl. 
10075,Naruto x UT,"All-new animation offered throughout UNIQLO clothins stores in Japan on January 1, 2011. The DVD contains an exclusive version of Mayonaka Orchestra, by the Japanese rock band Aqua Timez. A limited number of the DVDs was offered as presents to people who bought UNIQLO's Naruto graphic T-shirts online or in their stores."
1008,Ranma Â_ Specials,"""Reawakening Memories"" deals with Akane suddenly remembering a trip to Ryugenzawa when she was a small child. While there she was saved from a giant platypus by Shinnosuke. Akane travels back to Ryogenzawa and once again meets Shinnosuke, who falls in love with her. Akane blames herself for Shinnosuke`s life-threatening injuries, and decides to stay and help out. This irritates Ranma, who thinks that Akane has fallen in love with Shinnosuke, and will do what it takes to get her back."
10080,Kami nomi zo Shiru Sekai II,"Katsuragi is back, and together with Elsie the hunt for loose souls continues on. This time however, they are joined by Elsie's friend and fellow Demon, Haqua. "
10083,Shiki Specials,"The official website of the Shiki television anime series confirmed on Saturday that the anime's eighth and ninth Blu-ray Disc/DVD volumes will each include an unaired episode. The eighth volume will ship with Episode 21 and the unaired episode ""Dai FutatÅç to Han wa"" (a wordplay for ""Episode 20.5"") on May 25, 2011, while the ninth volume will ship with Episode 22 and the unaired episode ""Dai FutatÅç-ichi to Han wa"" (""Episode 21.5"") on June 22. "
10087,Fate/Zero,"With the promise of granting any wish, the omnipotent Holy Grail triggered three wars in the past, each too cruel and fierce to leave a victor. In spite of that, the wealthy Einzbern family is confident that the Fourth Holy Grail War will be different; namely, with a vessel of the Holy Grail now in their grasp. Solely for this reason, the much hated ""Magus Killer"" Kiritsugu Emiya is hired by the Einzberns, with marriage to their only daughter Irisviel as binding contract."
10090,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,"Kenji Kamiyama and Production I.G's Ghost in the Shell: Stand Alone Complex: Solid State Society movie will be converted into stereoscopic 3D. Kamiyama himself is overseeing the conversion, and I.G will also add a newly animated opening sequence."
10092,Break Blade 6: Doukoku no Toride,Sixth and final Break Blade movie.
101,Air,"Yukito Kunisaki is on a journey in search of the Winged Maiden who was bound to the sky centuries ago, after hearing an old childhood tale from his mother. As Yukito shows his puppet show to people in an attempt to make some money, he finds himself in a small town in which he did not expect to stay very long. However, when he meets an unusual girl named Misuzu, things take a drastic turn as he is invited to stay with her."
1010,Ranma Â_: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,"Kuno purchases a strange egg, believing that the mysterious powers of the legendary Phoenix will help him defeat Ranma. But when the egg hatches on his head, the bird goes out of control and wreaks havoc all over Tokyo. Ranma and the gang must use any means necessary to get the Phoenix to leave Kuno's head and fly away."
1011,Ranma Â_ Super,"Super OVA 1: Based on a story from vol. 27 of the manga, Shampoo and Ukyo arrange to travel to a cave that is legendary for breaking up couples. They hope they will cause Ranma and Akane to break-up and Shampoo hopes to ditch Mousse the same way."
